Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
Gl-32_S12.R2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.0)	(222, 0.0)	(227, 0.0)	(232, 0.0)	(237, 0.0)	(242, 0.0)	(247, 0.0)	(252, 0.0)	(257, 0.0)	(262, 0.0)	(267, 0.0)	(272, 0.0)	(277, 0.0)	(282, 0.014508523757707652)	(287, 0.28291621327529926)	(290, 0.5077983315197678)
Gl-33_S13.R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.13550135501355012)	(222, 0.13550135501355012)	(227, 0.13550135501355012)	(232, 0.13550135501355012)	(237, 0.13550135501355012)	(242, 0.13550135501355012)	(247, 0.13550135501355012)	(252, 0.13550135501355012)	(257, 0.13550135501355012)	(262, 0.13550135501355012)	(267, 0.13550135501355012)	(272, 0.13550135501355012)	(277, 0.13550135501355012)	(282, 0.13550135501355012)	(287, 0.13550135501355012)	(290, 0.13550135501355012)
Gl-33_S13.R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.0)	(222, 0.0)	(227, 0.0)	(232, 0.0)	(237, 0.06775067750677506)	(242, 0.06775067750677506)	(247, 0.06775067750677506)	(252, 0.06775067750677506)	(257, 0.06775067750677506)	(262, 0.06775067750677506)	(267, 0.06775067750677506)	(272, 0.06775067750677506)	(277, 0.06775067750677506)	(282, 0.06775067750677506)	(287, 0.13550135501355012)	(290, 0.13550135501355012)
Gl-33_S13.R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.08130081300813008)	(172, 0.20325203252032517)	(177, 0.20325203252032517)	(182, 0.20325203252032517)	(187, 0.20325203252032517)	(192, 0.20325203252032517)	(197, 0.20325203252032517)	(202, 0.20325203252032517)	(207, 0.20325203252032517)	(212, 0.20325203252032517)	(217, 0.20325203252032517)	(222, 0.20325203252032517)	(227, 0.20325203252032517)	(232, 0.20325203252032517)	(237, 0.20325203252032517)	(242, 0.20325203252032517)	(247, 0.20325203252032517)	(252, 0.20325203252032517)	(257, 0.20325203252032517)	(262, 0.20325203252032517)	(267, 0.20325203252032517)	(272, 0.20325203252032517)	(277, 0.20325203252032517)	(282, 0.20325203252032517)	(287, 0.20325203252032517)	(290, 0.2032520325203252)
Gl-33_S13.R2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.0)	(222, 0.0)	(227, 0.0)	(232, 0.0)	(237, 0.0)	(242, 0.0)	(247, 0.0)	(252, 0.0)	(257, 0.0)	(262, 0.0)	(267, 0.0)	(272, 0.0)	(277, 0.0)	(282, 0.04065040650406504)	(287, 0.20325203252032517)	(290, 0.2032520325203252)
Gl-34_S14.R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.04257130693912303)	(32, 0.04257130693912303)	(37, 0.04257130693912303)	(42, 0.04257130693912303)	(47, 0.04257130693912303)	(52, 0.04257130693912303)	(57, 0.04257130693912303)	(62, 0.04257130693912303)	(67, 0.04257130693912303)	(72, 0.04257130693912303)	(77, 0.04257130693912303)	(82, 0.04257130693912303)	(87, 0.04257130693912303)	(92, 0.04257130693912303)	(97, 0.04257130693912303)	(102, 0.04257130693912303)	(107, 0.04257130693912303)	(112, 0.04257130693912303)	(117, 0.04257130693912303)	(122, 0.04257130693912303)	(127, 0.04257130693912303)	(132, 0.04257130693912303)	(137, 0.04257130693912303)	(142, 0.04257130693912303)	(147, 0.04257130693912303)	(152, 0.04257130693912303)	(157, 0.04257130693912303)	(162, 0.04257130693912303)	(167, 0.04257130693912303)	(172, 0.04257130693912303)	(177, 0.04257130693912303)	(182, 0.04257130693912303)	(187, 0.04257130693912303)	(192, 0.04257130693912303)	(197, 0.04257130693912303)	(202, 0.04257130693912303)	(207, 0.04257130693912303)	(212, 0.04257130693912303)	(217, 0.04257130693912303)	(222, 0.04257130693912303)	(227, 0.04257130693912303)	(232, 0.07662835249042146)	(237, 0.17028522775649213)	(242, 0.17028522775649213)	(247, 0.17028522775649213)	(252, 0.17028522775649213)	(257, 0.17028522775649213)	(262, 0.17028522775649213)	(267, 0.17028522775649213)	(272, 0.17028522775649213)	(277, 0.17028522775649213)	(282, 0.20434227330779056)	(287, 0.36611323967645815)	(290, 0.3831417624521073)
Gl-34_S14.R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.02554278416347382)	(167, 0.05959982971477225)	(172, 0.08514261387824607)	(177, 0.08514261387824607)	(182, 0.08514261387824607)	(187, 0.08514261387824607)	(192, 0.08514261387824607)	(197, 0.08514261387824607)	(202, 0.08514261387824607)	(207, 0.08514261387824607)	(212, 0.08514261387824607)	(217, 0.1277139208173691)	(222, 0.1277139208173691)	(227, 0.1277139208173691)	(232, 0.1277139208173691)	(237, 0.1277139208173691)	(242, 0.1277139208173691)	(247, 0.1277139208173691)	(252, 0.1277139208173691)	(257, 0.1277139208173691)	(262, 0.1277139208173691)	(267, 0.1277139208173691)	(272, 0.1277139208173691)	(277, 0.1277139208173691)	(282, 0.40017028522775655)	(287, 0.7662835249042146)	(290, 0.7662835249042146)
Gl-34_S14.R2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.04257130693912303)	(222, 0.04257130693912303)	(227, 0.04257130693912303)	(232, 0.04257130693912303)	(237, 0.11068539804171988)	(242, 0.1277139208173691)	(247, 0.1277139208173691)	(252, 0.1277139208173691)	(257, 0.1277139208173691)	(262, 0.1277139208173691)	(267, 0.1277139208173691)	(272, 0.1277139208173691)	(277, 0.1277139208173691)	(282, 0.17028522775649213)	(287, 0.17028522775649213)	(290, 0.17028522775649213)
Gl-36_S15.R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.0)	(222, 0.0)	(227, 0.054914881933003847)	(232, 0.054914881933003847)	(237, 0.09884678747940692)	(242, 0.10982976386600769)	(247, 0.10982976386600769)	(252, 0.10982976386600769)	(257, 0.10982976386600769)	(262, 0.10982976386600769)	(267, 0.10982976386600769)	(272, 0.10982976386600769)	(277, 0.10982976386600769)	(282, 0.4173531026908292)	(287, 0.6699615595826469)	(290, 0.7138934651290499)
Gl-36_S15.R2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.0)	(222, 0.0)	(227, 0.010982976386600769)	(232, 0.054914881933003847)	(237, 0.08786381109280615)	(242, 0.10982976386600769)	(247, 0.10982976386600769)	(252, 0.10982976386600769)	(257, 0.10982976386600769)	(262, 0.10982976386600769)	(267, 0.10982976386600769)	(272, 0.10982976386600769)	(277, 0.10982976386600769)	(282, 0.10982976386600769)	(287, 0.15376166941241073)	(290, 0.21965952773201539)
Gl-39_S17.R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.11661807580174928)	(42, 0.1457725947521866)	(47, 0.1457725947521866)	(52, 0.1457725947521866)	(57, 0.1457725947521866)	(62, 0.1457725947521866)	(67, 0.1457725947521866)	(72, 0.1457725947521866)	(77, 0.1457725947521866)	(82, 0.1457725947521866)	(87, 0.1457725947521866)	(92, 0.1457725947521866)	(97, 0.1457725947521866)	(102, 0.1457725947521866)	(107, 0.1457725947521866)	(112, 0.1457725947521866)	(117, 0.1457725947521866)	(122, 0.1457725947521866)	(127, 0.1457725947521866)	(132, 0.1457725947521866)	(137, 0.1457725947521866)	(142, 0.1457725947521866)	(147, 0.1457725947521866)	(152, 0.1457725947521866)	(157, 0.1457725947521866)	(162, 0.1457725947521866)	(167, 0.1457725947521866)	(172, 0.1457725947521866)	(177, 0.1457725947521866)	(182, 0.1457725947521866)	(187, 0.1457725947521866)	(192, 0.2623906705539359)	(197, 0.2915451895043732)	(202, 0.2915451895043732)	(207, 0.2915451895043732)	(212, 0.2915451895043732)	(217, 0.2915451895043732)	(222, 0.2915451895043732)	(227, 0.2915451895043732)	(232, 0.43731778425655976)	(237, 0.7288629737609329)	(242, 0.7288629737609329)	(247, 0.7288629737609329)	(252, 0.7288629737609329)	(257, 0.7288629737609329)	(262, 0.7288629737609329)	(267, 0.7288629737609329)	(272, 0.7288629737609329)	(277, 0.7288629737609329)	(282, 0.7288629737609329)	(287, 0.8454810495626823)	(290, 0.8746355685131195)
Gl-39_S17.R2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.05830903790087464)	(217, 0.1457725947521866)	(222, 0.1457725947521866)	(227, 0.1457725947521866)	(232, 0.1457725947521866)	(237, 0.1457725947521866)	(242, 0.1457725947521866)	(247, 0.1457725947521866)	(252, 0.1457725947521866)	(257, 0.1457725947521866)	(262, 0.1457725947521866)	(267, 0.1457725947521866)	(272, 0.1457725947521866)	(277, 0.1457725947521866)	(282, 0.1457725947521866)	(287, 0.1457725947521866)	(290, 0.1457725947521866)
Gl-45_S18.R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.09615384615384616)	(22, 0.09615384615384616)	(27, 0.09615384615384616)	(32, 0.09615384615384616)	(37, 0.09615384615384616)	(42, 0.09615384615384616)	(47, 0.09615384615384616)	(52, 0.09615384615384616)	(57, 0.09615384615384616)	(62, 0.09615384615384616)	(67, 0.09615384615384616)	(72, 0.09615384615384616)	(77, 0.09615384615384616)	(82, 0.09615384615384616)	(87, 0.09615384615384616)	(92, 0.09615384615384616)	(97, 0.09615384615384616)	(102, 0.09615384615384616)	(107, 0.09615384615384616)	(112, 0.09615384615384616)	(117, 0.09615384615384616)	(122, 0.09615384615384616)	(127, 0.09615384615384616)	(132, 0.09615384615384616)	(137, 0.09615384615384616)	(142, 0.09615384615384616)	(147, 0.09615384615384616)	(152, 0.09615384615384616)	(157, 0.09615384615384616)	(162, 0.09615384615384616)	(167, 0.09615384615384616)	(172, 0.09615384615384616)	(177, 0.09615384615384616)	(182, 0.09615384615384616)	(187, 0.09615384615384616)	(192, 0.09615384615384616)	(197, 0.09615384615384616)	(202, 0.09615384615384616)	(207, 0.09615384615384616)	(212, 0.09615384615384616)	(217, 0.09615384615384616)	(222, 0.09615384615384616)	(227, 0.09615384615384616)	(232, 0.17307692307692307)	(237, 0.38461538461538464)	(242, 0.38461538461538464)	(247, 0.38461538461538464)	(252, 0.38461538461538464)	(257, 0.38461538461538464)	(262, 0.38461538461538464)	(267, 0.38461538461538464)	(272, 0.38461538461538464)	(277, 0.4230769230769231)	(282, 0.4807692307692307)	(287, 0.4807692307692307)	(290, 0.4807692307692308)
Gl-45_S18.R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.11538461538461538)	(172, 0.28846153846153844)	(177, 0.28846153846153844)	(182, 0.28846153846153844)	(187, 0.28846153846153844)	(192, 0.28846153846153844)	(197, 0.28846153846153844)	(202, 0.28846153846153844)	(207, 0.28846153846153844)	(212, 0.3269230769230769)	(217, 0.38461538461538464)	(222, 0.38461538461538464)	(227, 0.38461538461538464)	(232, 0.38461538461538464)	(237, 0.38461538461538464)	(242, 0.38461538461538464)	(247, 0.38461538461538464)	(252, 0.38461538461538464)	(257, 0.38461538461538464)	(262, 0.38461538461538464)	(267, 0.38461538461538464)	(272, 0.38461538461538464)	(277, 0.38461538461538464)	(282, 0.38461538461538464)	(287, 0.38461538461538464)	(290, 0.38461538461538464)
Gl-45_S18.R2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.09615384615384616)	(102, 0.09615384615384616)	(107, 0.09615384615384616)	(112, 0.09615384615384616)	(117, 0.09615384615384616)	(122, 0.09615384615384616)	(127, 0.09615384615384616)	(132, 0.09615384615384616)	(137, 0.09615384615384616)	(142, 0.09615384615384616)	(147, 0.09615384615384616)	(152, 0.09615384615384616)	(157, 0.09615384615384616)	(162, 0.09615384615384616)	(167, 0.09615384615384616)	(172, 0.09615384615384616)	(177, 0.09615384615384616)	(182, 0.09615384615384616)	(187, 0.09615384615384616)	(192, 0.09615384615384616)	(197, 0.09615384615384616)	(202, 0.09615384615384616)	(207, 0.17307692307692307)	(212, 0.19230769230769232)	(217, 0.19230769230769232)	(222, 0.19230769230769232)	(227, 0.19230769230769232)	(232, 0.25)	(237, 0.5)	(242, 0.6730769230769231)	(247, 0.6730769230769231)	(252, 0.6730769230769231)	(257, 0.6730769230769231)	(262, 0.6730769230769231)	(267, 0.6730769230769231)	(272, 0.6730769230769231)	(277, 0.6730769230769231)	(282, 0.6730769230769231)	(287, 0.6730769230769231)	(290, 0.6730769230769231)
Gl-47_S19.R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.07457121551081283)	(62, 0.07457121551081283)	(67, 0.07457121551081283)	(72, 0.07457121551081283)	(77, 0.07457121551081283)	(82, 0.07457121551081283)	(87, 0.07457121551081283)	(92, 0.07457121551081283)	(97, 0.07457121551081283)	(102, 0.07457121551081283)	(107, 0.07457121551081283)	(112, 0.07457121551081283)	(117, 0.07457121551081283)	(122, 0.07457121551081283)	(127, 0.07457121551081283)	(132, 0.07457121551081283)	(137, 0.07457121551081283)	(142, 0.07457121551081283)	(147, 0.07457121551081283)	(152, 0.07457121551081283)	(157, 0.07457121551081283)	(162, 0.07457121551081283)	(167, 0.07457121551081283)	(172, 0.07457121551081283)	(177, 0.07457121551081283)	(182, 0.07457121551081283)	(187, 0.07457121551081283)	(192, 0.07457121551081283)	(197, 0.07457121551081283)	(202, 0.07457121551081283)	(207, 0.07457121551081283)	(212, 0.07457121551081283)	(217, 0.07457121551081283)	(222, 0.07457121551081283)	(227, 0.07457121551081283)	(232, 0.11931394481730054)	(237, 0.22371364653243847)	(242, 0.2684563758389261)	(247, 0.29828486204325133)	(252, 0.29828486204325133)	(257, 0.29828486204325133)	(262, 0.29828486204325133)	(267, 0.29828486204325133)	(272, 0.29828486204325133)	(277, 0.29828486204325133)	(282, 0.29828486204325133)	(287, 0.29828486204325133)	(290, 0.29828486204325133)
Gl-47_S19.R2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.07457121551081283)	(157, 0.07457121551081283)	(162, 0.07457121551081283)	(167, 0.07457121551081283)	(172, 0.07457121551081283)	(177, 0.07457121551081283)	(182, 0.07457121551081283)	(187, 0.07457121551081283)	(192, 0.07457121551081283)	(197, 0.07457121551081283)	(202, 0.07457121551081283)	(207, 0.07457121551081283)	(212, 0.07457121551081283)	(217, 0.07457121551081283)	(222, 0.07457121551081283)	(227, 0.07457121551081283)	(232, 0.11931394481730054)	(237, 0.19388516032811337)	(242, 0.22371364653243847)	(247, 0.22371364653243847)	(252, 0.22371364653243847)	(257, 0.22371364653243847)	(262, 0.22371364653243847)	(267, 0.22371364653243847)	(272, 0.22371364653243847)	(277, 0.22371364653243847)	(282, 0.22371364653243847)	(287, 0.22371364653243847)	(290, 0.22371364653243847)
Gl-51_S20.R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.010964912280701754)	(147, 0.05482456140350876)	(152, 0.05482456140350876)	(157, 0.05482456140350876)	(162, 0.06578947368421052)	(167, 0.10964912280701752)	(172, 0.10964912280701752)	(177, 0.10964912280701752)	(182, 0.10964912280701752)	(187, 0.10964912280701752)	(192, 0.10964912280701752)	(197, 0.10964912280701752)	(202, 0.10964912280701752)	(207, 0.10964912280701752)	(212, 0.10964912280701752)	(217, 0.15350877192982457)	(222, 0.16447368421052633)	(227, 0.16447368421052633)	(232, 0.16447368421052633)	(237, 0.16447368421052633)	(242, 0.16447368421052633)	(247, 0.16447368421052633)	(252, 0.16447368421052633)	(257, 0.16447368421052633)	(262, 0.16447368421052633)	(267, 0.16447368421052633)	(272, 0.16447368421052633)	(277, 0.16447368421052633)	(282, 0.16447368421052633)	(287, 0.16447368421052633)	(290, 0.16447368421052633)
