Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
I14_S68.R1	(21.0, 1.0)	(22.0, 0.0)	(23.0, 3.0)	(24.0, 0.0)	(25.0, 1.0)	(26.0, 1.0)	(27.0, 6.0)	(28.0, 7.0)	(29.0, 14.0)	(30.0, 15.0)	(31.0, 31.0)	(32.0, 47.0)	(33.0, 85.0)	(34.0, 144.0)	(35.0, 334.0)	(36.0, 706.0)	(37.0, 554.0)										
I14_S68.R2	(15.0, 1.0)	(16.0, 2.0)	(17.0, 3.0)	(18.0, 6.0)	(19.0, 12.0)	(20.0, 7.0)	(21.0, 13.0)	(22.0, 9.0)	(23.0, 17.0)	(24.0, 25.0)	(25.0, 16.0)	(26.0, 43.0)	(27.0, 91.0)	(28.0, 173.0)	(29.0, 339.0)	(30.0, 378.0)	(31.0, 257.0)	(32.0, 156.0)	(33.0, 149.0)	(34.0, 161.0)	(35.0, 82.0)	(36.0, 9.0)					
I15_S69.R1	(19.0, 3.0)	(20.0, 1.0)	(21.0, 2.0)	(22.0, 2.0)	(23.0, 1.0)	(24.0, 5.0)	(25.0, 11.0)	(26.0, 28.0)	(27.0, 38.0)	(28.0, 75.0)	(29.0, 107.0)	(30.0, 165.0)	(31.0, 237.0)	(32.0, 382.0)	(33.0, 625.0)	(34.0, 1038.0)	(35.0, 2130.0)	(36.0, 7117.0)	(37.0, 15529.0)								
I15_S69.R2	(14.0, 1.0)	(15.0, 1.0)	(16.0, 29.0)	(17.0, 107.0)	(18.0, 130.0)	(19.0, 207.0)	(20.0, 203.0)	(21.0, 247.0)	(22.0, 260.0)	(23.0, 345.0)	(24.0, 407.0)	(25.0, 454.0)	(26.0, 586.0)	(27.0, 767.0)	(28.0, 992.0)	(29.0, 1252.0)	(30.0, 1714.0)	(31.0, 2494.0)	(32.0, 3579.0)	(33.0, 5177.0)	(34.0, 5457.0)	(35.0, 2851.0)	(36.0, 234.0)	(37.0, 2.0)			
I16_S70.R1	(21.0, 3.0)	(22.0, 0.0)	(23.0, 2.0)	(24.0, 5.0)	(25.0, 4.0)	(26.0, 12.0)	(27.0, 18.0)	(28.0, 14.0)	(29.0, 44.0)	(30.0, 42.0)	(31.0, 67.0)	(32.0, 130.0)	(33.0, 205.0)	(34.0, 352.0)	(35.0, 728.0)	(36.0, 1940.0)	(37.0, 3964.0)										
I16_S70.R2	(16.0, 12.0)	(17.0, 24.0)	(18.0, 41.0)	(19.0, 50.0)	(20.0, 64.0)	(21.0, 70.0)	(22.0, 76.0)	(23.0, 83.0)	(24.0, 113.0)	(25.0, 133.0)	(26.0, 182.0)	(27.0, 247.0)	(28.0, 338.0)	(29.0, 505.0)	(30.0, 598.0)	(31.0, 754.0)	(32.0, 939.0)	(33.0, 1228.0)	(34.0, 1235.0)	(35.0, 721.0)	(36.0, 116.0)	(37.0, 1.0)					
I17_S71.R1	(22.0, 2.0)	(23.0, 2.0)	(24.0, 1.0)	(25.0, 3.0)	(26.0, 4.0)	(27.0, 8.0)	(28.0, 15.0)	(29.0, 29.0)	(30.0, 44.0)	(31.0, 64.0)	(32.0, 122.0)	(33.0, 209.0)	(34.0, 358.0)	(35.0, 666.0)	(36.0, 1906.0)	(37.0, 3795.0)											
I17_S71.R2	(16.0, 7.0)	(17.0, 18.0)	(18.0, 26.0)	(19.0, 41.0)	(20.0, 53.0)	(21.0, 70.0)	(22.0, 80.0)	(23.0, 92.0)	(24.0, 113.0)	(25.0, 135.0)	(26.0, 137.0)	(27.0, 219.0)	(28.0, 312.0)	(29.0, 458.0)	(30.0, 599.0)	(31.0, 674.0)	(32.0, 836.0)	(33.0, 1129.0)	(34.0, 1247.0)	(35.0, 822.0)	(36.0, 156.0)	(37.0, 4.0)					
I18_S72.R1	(23.0, 2.0)	(24.0, 3.0)	(25.0, 2.0)	(26.0, 3.0)	(27.0, 5.0)	(28.0, 10.0)	(29.0, 12.0)	(30.0, 23.0)	(31.0, 34.0)	(32.0, 50.0)	(33.0, 108.0)	(34.0, 193.0)	(35.0, 437.0)	(36.0, 1192.0)	(37.0, 1207.0)												
I18_S72.R2	(17.0, 3.0)	(18.0, 3.0)	(19.0, 7.0)	(20.0, 10.0)	(21.0, 14.0)	(22.0, 12.0)	(23.0, 26.0)	(24.0, 29.0)	(25.0, 30.0)	(26.0, 44.0)	(27.0, 49.0)	(28.0, 97.0)	(29.0, 201.0)	(30.0, 209.0)	(31.0, 254.0)	(32.0, 267.0)	(33.0, 419.0)	(34.0, 682.0)	(35.0, 699.0)	(36.0, 219.0)	(37.0, 7.0)						
I19_S73.R1	(18.0, 1.0)	(19.0, 3.0)	(20.0, 3.0)	(21.0, 11.0)	(22.0, 14.0)	(23.0, 13.0)	(24.0, 15.0)	(25.0, 18.0)	(26.0, 18.0)	(27.0, 18.0)	(28.0, 20.0)	(29.0, 29.0)	(30.0, 28.0)	(31.0, 34.0)	(32.0, 31.0)	(33.0, 22.0)	(34.0, 60.0)	(35.0, 130.0)	(36.0, 432.0)	(37.0, 514.0)							
I19_S73.R2	(16.0, 8.0)	(17.0, 16.0)	(18.0, 17.0)	(19.0, 18.0)	(20.0, 31.0)	(21.0, 24.0)	(22.0, 18.0)	(23.0, 25.0)	(24.0, 22.0)	(25.0, 16.0)	(26.0, 34.0)	(27.0, 40.0)	(28.0, 45.0)	(29.0, 79.0)	(30.0, 104.0)	(31.0, 102.0)	(32.0, 127.0)	(33.0, 202.0)	(34.0, 218.0)	(35.0, 182.0)	(36.0, 78.0)	(37.0, 8.0)					
I24_S49.R1	(18.0, 2.0)	(19.0, 1.0)	(20.0, 3.0)	(21.0, 9.0)	(22.0, 4.0)	(23.0, 9.0)	(24.0, 6.0)	(25.0, 14.0)	(26.0, 23.0)	(27.0, 51.0)	(28.0, 57.0)	(29.0, 104.0)	(30.0, 168.0)	(31.0, 250.0)	(32.0, 417.0)	(33.0, 652.0)	(34.0, 1067.0)	(35.0, 2187.0)	(36.0, 7015.0)	(37.0, 16227.0)							
I24_S49.R2	(15.0, 4.0)	(16.0, 36.0)	(17.0, 80.0)	(18.0, 116.0)	(19.0, 155.0)	(20.0, 177.0)	(21.0, 254.0)	(22.0, 279.0)	(23.0, 374.0)	(24.0, 398.0)	(25.0, 478.0)	(26.0, 644.0)	(27.0, 764.0)	(28.0, 955.0)	(29.0, 1268.0)	(30.0, 1769.0)	(31.0, 2486.0)	(32.0, 3562.0)	(33.0, 5008.0)	(34.0, 5724.0)	(35.0, 3385.0)	(36.0, 348.0)	(37.0, 2.0)				
I28_S74.R1	(19.0, 2.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 4.0)	(24.0, 4.0)	(25.0, 1.0)	(26.0, 3.0)	(27.0, 10.0)	(28.0, 12.0)	(29.0, 28.0)	(30.0, 25.0)	(31.0, 44.0)	(32.0, 75.0)	(33.0, 117.0)	(34.0, 220.0)	(35.0, 469.0)	(36.0, 1406.0)	(37.0, 2331.0)								
I28_S74.R2	(14.0, 1.0)	(15.0, 1.0)	(16.0, 6.0)	(17.0, 19.0)	(18.0, 22.0)	(19.0, 27.0)	(20.0, 26.0)	(21.0, 46.0)	(22.0, 59.0)	(23.0, 53.0)	(24.0, 60.0)	(25.0, 74.0)	(26.0, 132.0)	(27.0, 144.0)	(28.0, 188.0)	(29.0, 265.0)	(30.0, 409.0)	(31.0, 534.0)	(32.0, 619.0)	(33.0, 776.0)	(34.0, 769.0)	(35.0, 433.0)	(36.0, 85.0)	(37.0, 3.0)			
I29_S75.R1	(17.0, 1.0)	(18.0, 0.0)	(19.0, 3.0)	(20.0, 2.0)	(21.0, 2.0)	(22.0, 2.0)	(23.0, 1.0)	(24.0, 3.0)	(25.0, 10.0)	(26.0, 13.0)	(27.0, 20.0)	(28.0, 49.0)	(29.0, 76.0)	(30.0, 115.0)	(31.0, 164.0)	(32.0, 264.0)	(33.0, 431.0)	(34.0, 773.0)	(35.0, 1676.0)	(36.0, 5151.0)	(37.0, 10782.0)						
I29_S75.R2	(14.0, 1.0)	(15.0, 7.0)	(16.0, 25.0)	(17.0, 76.0)	(18.0, 92.0)	(19.0, 129.0)	(20.0, 146.0)	(21.0, 188.0)	(22.0, 195.0)	(23.0, 269.0)	(24.0, 284.0)	(25.0, 346.0)	(26.0, 500.0)	(27.0, 613.0)	(28.0, 751.0)	(29.0, 958.0)	(30.0, 1379.0)	(31.0, 1859.0)	(32.0, 2647.0)	(33.0, 3384.0)	(34.0, 3641.0)	(35.0, 1863.0)	(36.0, 185.0)				
I2_S60.R1	(19.0, 1.0)	(20.0, 1.0)	(21.0, 3.0)	(22.0, 2.0)	(23.0, 3.0)	(24.0, 5.0)	(25.0, 12.0)	(26.0, 10.0)	(27.0, 23.0)	(28.0, 22.0)	(29.0, 47.0)	(30.0, 66.0)	(31.0, 113.0)	(32.0, 171.0)	(33.0, 286.0)	(34.0, 486.0)	(35.0, 1023.0)	(36.0, 3129.0)	(37.0, 6492.0)								
I2_S60.R2	(15.0, 8.0)	(16.0, 9.0)	(17.0, 38.0)	(18.0, 64.0)	(19.0, 83.0)	(20.0, 105.0)	(21.0, 108.0)	(22.0, 111.0)	(23.0, 159.0)	(24.0, 173.0)	(25.0, 217.0)	(26.0, 289.0)	(27.0, 339.0)	(28.0, 462.0)	(29.0, 713.0)	(30.0, 864.0)	(31.0, 1166.0)	(32.0, 1564.0)	(33.0, 2150.0)	(34.0, 2108.0)	(35.0, 1055.0)	(36.0, 107.0)	(37.0, 3.0)				
I35_S50.R1	(18.0, 1.0)	(19.0, 0.0)	(20.0, 6.0)	(21.0, 2.0)	(22.0, 6.0)	(23.0, 10.0)	(24.0, 14.0)	(25.0, 18.0)	(26.0, 41.0)	(27.0, 52.0)	(28.0, 70.0)	(29.0, 136.0)	(30.0, 168.0)	(31.0, 322.0)	(32.0, 450.0)	(33.0, 744.0)	(34.0, 1404.0)	(35.0, 3218.0)	(36.0, 9695.0)	(37.0, 12188.0)							
I35_S50.R2	(15.0, 6.0)	(16.0, 44.0)	(17.0, 79.0)	(18.0, 129.0)	(19.0, 165.0)	(20.0, 204.0)	(21.0, 205.0)	(22.0, 246.0)	(23.0, 367.0)	(24.0, 381.0)	(25.0, 477.0)	(26.0, 613.0)	(27.0, 744.0)	(28.0, 1003.0)	(29.0, 1451.0)	(30.0, 2071.0)	(31.0, 2996.0)	(32.0, 4202.0)	(33.0, 5377.0)	(34.0, 5206.0)	(35.0, 2367.0)	(36.0, 204.0)	(37.0, 8.0)				
I36_S51.R1	(18.0, 2.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 3.0)	(22.0, 4.0)	(23.0, 8.0)	(24.0, 5.0)	(25.0, 10.0)	(26.0, 17.0)	(27.0, 29.0)	(28.0, 45.0)	(29.0, 91.0)	(30.0, 139.0)	(31.0, 223.0)	(32.0, 308.0)	(33.0, 491.0)	(34.0, 899.0)	(35.0, 1868.0)	(36.0, 6006.0)	(37.0, 12484.0)							
I36_S51.R2	(13.0, 2.0)	(14.0, 0.0)	(15.0, 4.0)	(16.0, 29.0)	(17.0, 83.0)	(18.0, 107.0)	(19.0, 154.0)	(20.0, 157.0)	(21.0, 196.0)	(22.0, 248.0)	(23.0, 259.0)	(24.0, 340.0)	(25.0, 408.0)	(26.0, 475.0)	(27.0, 621.0)	(28.0, 804.0)	(29.0, 1105.0)	(30.0, 1497.0)	(31.0, 2034.0)	(32.0, 2855.0)	(33.0, 3917.0)	(34.0, 4583.0)	(35.0, 2507.0)	(36.0, 247.0)			
I3_S61.R1	(18.0, 3.0)	(19.0, 2.0)	(20.0, 2.0)	(21.0, 2.0)	(22.0, 4.0)	(23.0, 4.0)	(24.0, 10.0)	(25.0, 16.0)	(26.0, 17.0)	(27.0, 21.0)	(28.0, 75.0)	(29.0, 91.0)	(30.0, 140.0)	(31.0, 222.0)	(32.0, 366.0)	(33.0, 593.0)	(34.0, 983.0)	(35.0, 2115.0)	(36.0, 6626.0)	(37.0, 14521.0)							
I3_S61.R2	(15.0, 3.0)	(16.0, 38.0)	(17.0, 80.0)	(18.0, 121.0)	(19.0, 182.0)	(20.0, 196.0)	(21.0, 248.0)	(22.0, 298.0)	(23.0, 384.0)	(24.0, 403.0)	(25.0, 514.0)	(26.0, 638.0)	(27.0, 780.0)	(28.0, 983.0)	(29.0, 1365.0)	(30.0, 1800.0)	(31.0, 2426.0)	(32.0, 3398.0)	(33.0, 4587.0)	(34.0, 4820.0)	(35.0, 2345.0)	(36.0, 204.0)					
I4_S62.R1	(21.0, 1.0)	(22.0, 1.0)	(23.0, 0.0)	(24.0, 1.0)	(25.0, 4.0)	(26.0, 8.0)	(27.0, 9.0)	(28.0, 13.0)	(29.0, 19.0)	(30.0, 37.0)	(31.0, 68.0)	(32.0, 94.0)	(33.0, 156.0)	(34.0, 304.0)	(35.0, 613.0)	(36.0, 1568.0)	(37.0, 2066.0)										
I4_S62.R2	(15.0, 1.0)	(16.0, 3.0)	(17.0, 10.0)	(18.0, 16.0)	(19.0, 12.0)	(20.0, 32.0)	(21.0, 36.0)	(22.0, 40.0)	(23.0, 63.0)	(24.0, 64.0)	(25.0, 66.0)	(26.0, 95.0)	(27.0, 140.0)	(28.0, 242.0)	(29.0, 407.0)	(30.0, 517.0)	(31.0, 542.0)	(32.0, 585.0)	(33.0, 667.0)	(34.0, 803.0)	(35.0, 536.0)	(36.0, 84.0)	(37.0, 1.0)				
I50_S54.R1	(18.0, 4.0)	(19.0, 1.0)	(20.0, 3.0)	(21.0, 6.0)	(22.0, 5.0)	(23.0, 4.0)	(24.0, 11.0)	(25.0, 17.0)	(26.0, 26.0)	(27.0, 39.0)	(28.0, 83.0)	(29.0, 121.0)	(30.0, 190.0)	(31.0, 279.0)	(32.0, 497.0)	(33.0, 783.0)	(34.0, 1391.0)	(35.0, 2920.0)	(36.0, 9601.0)	(37.0, 16309.0)							
I50_S54.R2	(12.0, 2.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 5.0)	(16.0, 29.0)	(17.0, 84.0)	(18.0, 138.0)	(19.0, 211.0)	(20.0, 230.0)	(21.0, 271.0)	(22.0, 337.0)	(23.0, 395.0)	(24.0, 507.0)	(25.0, 587.0)	(26.0, 716.0)	(27.0, 895.0)	(28.0, 1174.0)	(29.0, 1529.0)	(30.0, 2057.0)	(31.0, 2976.0)	(32.0, 4068.0)	(33.0, 5748.0)	(34.0, 6184.0)	(35.0, 3685.0)	(36.0, 459.0)	(37.0, 1.0)	
I51_S55.R1	(21.0, 3.0)	(22.0, 1.0)	(23.0, 2.0)	(24.0, 7.0)	(25.0, 7.0)	(26.0, 9.0)	(27.0, 17.0)	(28.0, 40.0)	(29.0, 59.0)	(30.0, 109.0)	(31.0, 153.0)	(32.0, 253.0)	(33.0, 420.0)	(34.0, 781.0)	(35.0, 1691.0)	(36.0, 5392.0)	(37.0, 5648.0)										
I51_S55.R2	(16.0, 4.0)	(17.0, 19.0)	(18.0, 35.0)	(19.0, 66.0)	(20.0, 97.0)	(21.0, 109.0)	(22.0, 131.0)	(23.0, 154.0)	(24.0, 179.0)	(25.0, 241.0)	(26.0, 278.0)	(27.0, 335.0)	(28.0, 459.0)	(29.0, 693.0)	(30.0, 829.0)	(31.0, 1092.0)	(32.0, 1541.0)	(33.0, 2249.0)	(34.0, 3061.0)	(35.0, 2563.0)	(36.0, 456.0)	(37.0, 1.0)					
I52_S56.R1	(19.0, 2.0)	(20.0, 2.0)	(21.0, 3.0)	(22.0, 6.0)	(23.0, 6.0)	(24.0, 13.0)	(25.0, 13.0)	(26.0, 26.0)	(27.0, 44.0)	(28.0, 72.0)	(29.0, 125.0)	(30.0, 197.0)	(31.0, 277.0)	(32.0, 436.0)	(33.0, 701.0)	(34.0, 1190.0)	(35.0, 2480.0)	(36.0, 7812.0)	(37.0, 16223.0)								
I52_S56.R2	(13.0, 1.0)	(14.0, 0.0)	(15.0, 7.0)	(16.0, 34.0)	(17.0, 87.0)	(18.0, 143.0)	(19.0, 185.0)	(20.0, 227.0)	(21.0, 265.0)	(22.0, 317.0)	(23.0, 371.0)	(24.0, 441.0)	(25.0, 562.0)	(26.0, 664.0)	(27.0, 826.0)	(28.0, 1036.0)	(29.0, 1440.0)	(30.0, 2014.0)	(31.0, 2769.0)	(32.0, 3791.0)	(33.0, 5415.0)	(34.0, 5791.0)	(35.0, 2978.0)	(36.0, 264.0)			
I56_S57.R1	(18.0, 3.0)	(19.0, 1.0)	(20.0, 1.0)	(21.0, 0.0)	(22.0, 1.0)	(23.0, 9.0)	(24.0, 5.0)	(25.0, 21.0)	(26.0, 22.0)	(27.0, 41.0)	(28.0, 62.0)	(29.0, 94.0)	(30.0, 153.0)	(31.0, 236.0)	(32.0, 379.0)	(33.0, 591.0)	(34.0, 982.0)	(35.0, 2061.0)	(36.0, 6565.0)	(37.0, 11818.0)							
I56_S57.R2	(13.0, 1.0)	(14.0, 0.0)	(15.0, 8.0)	(16.0, 40.0)	(17.0, 130.0)	(18.0, 190.0)	(19.0, 187.0)	(20.0, 222.0)	(21.0, 250.0)	(22.0, 323.0)	(23.0, 342.0)	(24.0, 380.0)	(25.0, 553.0)	(26.0, 612.0)	(27.0, 759.0)	(28.0, 984.0)	(29.0, 1267.0)	(30.0, 1749.0)	(31.0, 2386.0)	(32.0, 3185.0)	(33.0, 4102.0)	(34.0, 3739.0)	(35.0, 1534.0)	(36.0, 100.0)	(37.0, 2.0)		
I57_S58.R1	(18.0, 1.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 2.0)	(24.0, 3.0)	(25.0, 0.0)	(26.0, 5.0)	(27.0, 5.0)	(28.0, 24.0)	(29.0, 33.0)	(30.0, 46.0)	(31.0, 67.0)	(32.0, 107.0)	(33.0, 178.0)	(34.0, 335.0)	(35.0, 657.0)	(36.0, 2068.0)	(37.0, 3947.0)							
I57_S58.R2	(14.0, 1.0)	(15.0, 1.0)	(16.0, 12.0)	(17.0, 22.0)	(18.0, 45.0)	(19.0, 57.0)	(20.0, 59.0)	(21.0, 69.0)	(22.0, 67.0)	(23.0, 104.0)	(24.0, 128.0)	(25.0, 160.0)	(26.0, 198.0)	(27.0, 233.0)	(28.0, 325.0)	(29.0, 443.0)	(30.0, 636.0)	(31.0, 849.0)	(32.0, 1029.0)	(33.0, 1196.0)	(34.0, 1183.0)	(35.0, 587.0)	(36.0, 74.0)				
I5_S63.R1	(18.0, 3.0)	(19.0, 1.0)	(20.0, 4.0)	(21.0, 3.0)	(22.0, 1.0)	(23.0, 1.0)	(24.0, 13.0)	(25.0, 14.0)	(26.0, 17.0)	(27.0, 38.0)	(28.0, 81.0)	(29.0, 107.0)	(30.0, 147.0)	(31.0, 249.0)	(32.0, 390.0)	(33.0, 592.0)	(34.0, 1071.0)	(35.0, 2225.0)	(36.0, 7322.0)	(37.0, 15101.0)							
I5_S63.R2	(15.0, 3.0)	(16.0, 32.0)	(17.0, 99.0)	(18.0, 124.0)	(19.0, 149.0)	(20.0, 205.0)	(21.0, 239.0)	(22.0, 264.0)	(23.0, 360.0)	(24.0, 381.0)	(25.0, 494.0)	(26.0, 592.0)	(27.0, 757.0)	(28.0, 993.0)	(29.0, 1430.0)	(30.0, 1788.0)	(31.0, 2595.0)	(32.0, 3592.0)	(33.0, 4997.0)	(34.0, 5261.0)	(35.0, 2777.0)	(36.0, 247.0)	(37.0, 1.0)				
I6_S64.R1	(18.0, 1.0)	(19.0, 1.0)	(20.0, 2.0)	(21.0, 2.0)	(22.0, 6.0)	(23.0, 8.0)	(24.0, 8.0)	(25.0, 11.0)	(26.0, 24.0)	(27.0, 44.0)	(28.0, 64.0)	(29.0, 129.0)	(30.0, 204.0)	(31.0, 272.0)	(32.0, 444.0)	(33.0, 744.0)	(34.0, 1248.0)	(35.0, 2621.0)	(36.0, 8324.0)	(37.0, 17570.0)							
I6_S64.R2	(14.0, 1.0)	(15.0, 4.0)	(16.0, 43.0)	(17.0, 101.0)	(18.0, 168.0)	(19.0, 208.0)	(20.0, 264.0)	(21.0, 260.0)	(22.0, 342.0)	(23.0, 381.0)	(24.0, 484.0)	(25.0, 588.0)	(26.0, 718.0)	(27.0, 943.0)	(28.0, 1110.0)	(29.0, 1591.0)	(30.0, 2139.0)	(31.0, 3026.0)	(32.0, 4275.0)	(33.0, 5865.0)	(34.0, 5980.0)	(35.0, 2971.0)	(36.0, 262.0)	(37.0, 3.0)			
I7_S65.R1	(23.0, 2.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 1.0)	(28.0, 3.0)	(29.0, 7.0)	(30.0, 7.0)	(31.0, 19.0)	(32.0, 25.0)	(33.0, 55.0)	(34.0, 89.0)	(35.0, 224.0)	(36.0, 410.0)	(37.0, 322.0)												
I7_S65.R2	(18.0, 2.0)	(19.0, 3.0)	(20.0, 4.0)	(21.0, 4.0)	(22.0, 4.0)	(23.0, 6.0)	(24.0, 10.0)	(25.0, 13.0)	(26.0, 13.0)	(27.0, 36.0)	(28.0, 102.0)	(29.0, 194.0)	(30.0, 239.0)	(31.0, 156.0)	(32.0, 75.0)	(33.0, 68.0)	(34.0, 93.0)	(35.0, 92.0)	(36.0, 49.0)	(37.0, 1.0)							
I8_S66.R1	(19.0, 4.0)	(20.0, 4.0)	(21.0, 2.0)	(22.0, 4.0)	(23.0, 8.0)	(24.0, 8.0)	(25.0, 8.0)	(26.0, 37.0)	(27.0, 52.0)	(28.0, 88.0)	(29.0, 127.0)	(30.0, 210.0)	(31.0, 305.0)	(32.0, 472.0)	(33.0, 736.0)	(34.0, 1271.0)	(35.0, 2724.0)	(36.0, 8811.0)	(37.0, 16871.0)								
I8_S66.R2	(11.0, 1.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 6.0)	(16.0, 43.0)	(17.0, 130.0)	(18.0, 184.0)	(19.0, 247.0)	(20.0, 270.0)	(21.0, 294.0)	(22.0, 348.0)	(23.0, 396.0)	(24.0, 487.0)	(25.0, 665.0)	(26.0, 743.0)	(27.0, 963.0)	(28.0, 1250.0)	(29.0, 1560.0)	(30.0, 2280.0)	(31.0, 3068.0)	(32.0, 4331.0)	(33.0, 5779.0)	(34.0, 5831.0)	(35.0, 2666.0)	(36.0, 196.0)	(37.0, 2.0)
I9_S76.R1	(22.0, 1.0)	(23.0, 1.0)	(24.0, 1.0)	(25.0, 2.0)	(26.0, 0.0)	(27.0, 2.0)	(28.0, 7.0)	(29.0, 11.0)	(30.0, 13.0)	(31.0, 27.0)	(32.0, 45.0)	(33.0, 79.0)	(34.0, 144.0)	(35.0, 267.0)	(36.0, 527.0)	(37.0, 352.0)											
I9_S76.R2	(18.0, 2.0)	(19.0, 0.0)	(20.0, 1.0)	(21.0, 2.0)	(22.0, 2.0)	(23.0, 5.0)	(24.0, 9.0)	(25.0, 17.0)	(26.0, 22.0)	(27.0, 43.0)	(28.0, 133.0)	(29.0, 267.0)	(30.0, 359.0)	(31.0, 213.0)	(32.0, 75.0)	(33.0, 39.0)	(34.0, 75.0)	(35.0, 117.0)	(36.0, 96.0)	(37.0, 2.0)							
