Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
I117_S53.R2	(1.0, 5.169618092596544)	(2.0, 0.9302325581395349)	(3.0, 0.49285257094090035)	(4.0, 0.4011094516748453)	(5.0, 0.34136974610625137)	(6.0, 0.3840409643695327)	(7.0, 0.4480477917644549)	(8.0, 0.30723277149562617)	(9.0, 0.3456368679325795)	('>10', 6.58843609985065)	('>50', 2.003413697461063)	('>100', 8.497973117132494)	('>500', 2.6136121186259866)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 71.47642415190954)
I11_S78.R1	(1.0, 2.604766167881656)	(2.0, 1.2448309673018714)	(3.0, 0.837703031078143)	(4.0, 0.6735729206633414)	(5.0, 0.5328899688792258)	(6.0, 0.3197339813275355)	(7.0, 0.3133393017009848)	(8.0, 0.34104958008270453)	(9.0, 0.1918403887965213)	('>10', 4.68090548663512)	('>50', 1.4920919128618322)	('>100', 12.345994798993903)	('>500', 4.399539583066888)	('>1k', 29.68623438632391)	('>5k', 40.33550752440636)	('>10k+', 0.0)
I11_S78.R2	(1.0, 7.402907447670206)	(2.0, 1.8160890139404016)	(3.0, 1.1766210512853306)	(4.0, 0.9208338662233022)	(5.0, 0.8206505520740077)	(6.0, 0.5243637293771582)	(7.0, 0.37302297821545805)	(8.0, 0.35810205908683973)	(9.0, 0.3836807775930426)	('>10', 5.4567932813232725)	('>50', 2.314874024811357)	('>100', 10.576800102314875)	('>500', 6.940358954683037)	('>1k', 25.241932045871167)	('>5k', 35.69297011553055)	('>10k+', 0.0)
I13_S67.R1	(1.0, 2.9169008667869716)	(2.0, 1.4436588468479128)	(3.0, 1.038369375499216)	(4.0, 0.8164955773156228)	(5.0, 0.5916634618229152)	(6.0, 0.3549980770937491)	(7.0, 0.37274798094843653)	(8.0, 0.16566576931041624)	(9.0, 0.292873413602343)	('>10', 3.393189953554418)	('>50', 3.69198000177499)	('>100', 12.682306304174185)	('>500', 5.8781764932106615)	('>1k', 66.36097387805816)	('>5k', 0.0)	('>10k+', 0.0)
I13_S67.R2	(1.0, 7.792207792207792)	(2.0, 2.2424045203088485)	(3.0, 1.42886726030234)	(4.0, 1.171493654409372)	(5.0, 0.8727036061887998)	(6.0, 0.5502470194953111)	(7.0, 0.4762890867674467)	(8.0, 0.3786646155666657)	(9.0, 0.2662485578203118)	('>10', 4.24814365588853)	('>50', 2.8961926456231692)	('>100', 11.209064284235128)	('>500', 4.180102357778895)	('>1k', 62.287370943407396)	('>5k', 0.0)	('>10k+', 0.0)
I14_S68.R1	(1.0, 14.31503335043612)	(2.0, 4.207285787583376)	(3.0, 3.23242688558235)	(4.0, 2.052334530528476)	(5.0, 2.052334530528476)	(6.0, 1.539250897896357)	(7.0, 0.7183170856849667)	(8.0, 1.2314007183170856)	(9.0, 0.9235505387378143)	('>10', 21.03642893791688)	('>50', 3.23242688558235)	('>100', 45.45920985120574)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I14_S68.R2	(1.0, 17.957927142124166)	(2.0, 4.4125192406362235)	(3.0, 2.9245767060030783)	(4.0, 2.2575679835813234)	(5.0, 1.2827090815802977)	(6.0, 1.8471010774756287)	(7.0, 0.7183170856849667)	(8.0, 1.6418676244227808)	(9.0, 0.46177526936890717)	('>10', 22.93483837865572)	('>50', 0.0)	('>100', 16.572601334017445)	('>500', 26.988199076449458)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I15_S69.R1	(1.0, 3.382310154204248)	(2.0, 1.7311608961303464)	(3.0, 0.9928716904276985)	(4.0, 0.8583066627873145)	(5.0, 0.6182717486179808)	(6.0, 0.6764620308408495)	(7.0, 0.2545824847250509)	(8.0, 0.46552225778295026)	(9.0, 0.42551643875472794)	('>10', 4.451556590049462)	('>50', 3.302298516147803)	('>100', 15.071283095723015)	('>500', 6.459121326738434)	('>1k', 61.31073610707012)	('>5k', 0.0)	('>10k+', 0.0)
I15_S69.R2	(1.0, 8.241198719813791)	(2.0, 2.153040442246145)	(3.0, 1.898457957521094)	(4.0, 1.411114343904568)	(5.0, 0.9274076229269712)	(6.0, 0.6546406750072737)	(7.0, 0.7128309572301426)	(8.0, 0.43642711667151585)	(9.0, 0.2945883037532732)	('>10', 5.266220541169625)	('>50', 2.9749781786441662)	('>100', 13.28556881000873)	('>500', 11.674425370963048)	('>1k', 50.06910096013966)	('>5k', 0.0)	('>10k+', 0.0)
I16_S70.R1	(1.0, 4.966799468791501)	(2.0, 1.5405046480743692)	(3.0, 0.9163346613545816)	(4.0, 0.6905710491367862)	(5.0, 0.9960159362549801)	(6.0, 0.398406374501992)	(7.0, 0.37184594953519257)	(8.0, 0.10624169986719788)	(9.0, 0.7171314741035857)	('>10', 6.706507304116865)	('>50', 5.365205843293492)	('>100', 40.504648074369186)	('>500', 36.71978751660026)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I16_S70.R2	(1.0, 10.730411686586985)	(2.0, 2.443559096945551)	(3.0, 1.1553784860557768)	(4.0, 0.6905710491367862)	(5.0, 0.5312084993359893)	(6.0, 0.7171314741035857)	(7.0, 0.37184594953519257)	(8.0, 0.21248339973439576)	(9.0, 0.0)	('>10', 6.719787516600266)	('>50', 6.97211155378486)	('>100', 34.48871181938911)	('>500', 34.9667994687915)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I17_S71.R1	(1.0, 6.00442722744881)	(2.0, 2.102933038184837)	(3.0, 0.9546209186496957)	(4.0, 0.774764803541782)	(5.0, 0.2767017155506364)	(6.0, 0.5810736026563365)	(7.0, 0.774764803541782)	(8.0, 0.774764803541782)	(9.0, 0.7470946319867183)	('>10', 7.318760376314333)	('>50', 5.70005534034311)	('>100', 47.108467072495856)	('>500', 26.881571665744325)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I17_S71.R2	(1.0, 12.479247371333702)	(2.0, 3.0437188710570005)	(3.0, 1.5771997786386276)	(4.0, 0.996126175982291)	(5.0, 0.48422800221361373)	(6.0, 0.4980630879911455)	(7.0, 0.774764803541782)	(8.0, 0.44272274488101826)	(9.0, 0.37354731599335916)	('>10', 7.98284449363586)	('>50', 6.059767570558938)	('>100', 55.99059214167128)	('>500', 9.297177642501383)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I18_S72.R1	(1.0, 5.973788479122219)	(2.0, 2.011581834806462)	(3.0, 2.011581834806462)	(4.0, 0.731484303565986)	(5.0, 1.0667479427003963)	(6.0, 0.5486132276744895)	(7.0, 0.8533983541603171)	(8.0, 0.0)	(9.0, 0.5486132276744895)	('>10', 12.374276135324596)	('>50', 1.7982322462663822)	('>100', 13.288631514782079)	('>500', 27.125876257238644)	('>1k', 31.667174641877477)	('>5k', 0.0)	('>10k+', 0.0)
I18_S72.R2	(1.0, 11.124657116732703)	(2.0, 3.047851264858275)	(3.0, 1.3715330691862238)	(4.0, 1.462968607131972)	(5.0, 0.9143553794574825)	(6.0, 1.462968607131972)	(7.0, 0.21334958854007927)	(8.0, 0.731484303565986)	(9.0, 0.27430661383724475)	('>10', 11.825662907650107)	('>50', 0.0)	('>100', 14.507772020725387)	('>500', 53.063090521182566)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I19_S73.R1	(1.0, 13.932107496463933)	(2.0, 3.818953323903819)	(3.0, 1.0608203677510608)	(4.0, 2.828854314002829)	(5.0, 1.0608203677510608)	(6.0, 0.0)	(7.0, 0.9900990099009901)	(8.0, 1.1315417256011315)	(9.0, 0.6364922206506365)	('>10', 6.789250353606789)	('>50', 0.0)	('>100', 67.75106082036774)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I19_S73.R2	(1.0, 20.509193776520508)	(2.0, 3.818953323903819)	(3.0, 1.9094766619519095)	(4.0, 1.9801980198019802)	(5.0, 1.0608203677510608)	(6.0, 0.8486562942008486)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.6364922206506365)	('>10', 6.364922206506366)	('>50', 0.0)	('>100', 62.87128712871287)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I24_S49.R1	(1.0, 3.467062902426944)	(2.0, 1.719380174060709)	(3.0, 1.220547654425812)	(4.0, 0.7217151347909149)	(5.0, 0.7960093398429208)	(6.0, 0.5306728932286139)	(7.0, 0.3714710252600297)	(8.0, 0.36793320597183893)	(9.0, 0.25472298874973465)	('>10', 4.528408688884172)	('>50', 2.041321729286068)	('>100', 17.60772659732541)	('>500', 7.422344866624213)	('>1k', 58.950682799122625)	('>5k', 0.0)	('>10k+', 0.0)
I24_S49.R2	(1.0, 8.519068845963348)	(2.0, 2.2571287058657044)	(3.0, 1.7299936319252813)	(4.0, 1.2311611122903843)	(5.0, 0.9375221113705512)	(6.0, 0.573126724686903)	(7.0, 0.396235760277365)	(8.0, 0.25472298874973465)	(9.0, 0.25472298874973465)	('>10', 4.4328875681030215)	('>50', 2.579070261091063)	('>100', 15.746833651737068)	('>500', 1.9174980541993916)	('>1k', 59.17002759499045)	('>5k', 0.0)	('>10k+', 0.0)
I28_S74.R1	(1.0, 13.260366238686592)	(2.0, 4.588507682593138)	(3.0, 2.6520732477373183)	(4.0, 1.8522416333403495)	(5.0, 2.1048200378867605)	(6.0, 1.0103136181856451)	(7.0, 1.3260366238686592)	(8.0, 1.5154704272784676)	(9.0, 0.5683014102294254)	('>10', 17.848873921279733)	('>50', 10.797726794359082)	('>100', 42.47526836455483)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I28_S74.R2	(1.0, 20.1431277625763)	(2.0, 4.293832877288992)	(3.0, 2.6520732477373183)	(4.0, 1.8522416333403495)	(5.0, 1.7890970322037465)	(6.0, 1.6417596295516732)	(7.0, 0.5893496106082929)	(8.0, 1.5154704272784676)	(9.0, 0.9471690170490423)	('>10', 16.54388549778994)	('>50', 2.1679646390233636)	('>100', 45.864028625552514)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I29_S75.R1	(1.0, 3.848909816767325)	(2.0, 1.8220902855972978)	(3.0, 1.366567714197973)	(4.0, 0.9827003787491043)	(5.0, 0.588596581021599)	(6.0, 0.3685126420309141)	(7.0, 0.7165523595045552)	(8.0, 0.16378339645818407)	(9.0, 0.32244856177704984)	('>10', 5.087521752482342)	('>50', 2.912273518272085)	('>100', 20.93356535981165)	('>500', 20.22213123144641)	('>1k', 40.66434640188351)	('>5k', 0.0)	('>10k+', 0.0)
I29_S75.R2	(1.0, 9.473845838878084)	(2.0, 2.845736513460948)	(3.0, 1.950046064080254)	(4.0, 1.4331047190091104)	(5.0, 0.6653700481113727)	(6.0, 0.49135018937455216)	(7.0, 0.3582761797522776)	(8.0, 0.4504043402600061)	(9.0, 0.13819224076159278)	('>10', 5.988330433002354)	('>50', 3.6492988023339135)	('>100', 14.459002968574062)	('>500', 20.723717883099603)	('>1k', 37.37332377930188)	('>5k', 0.0)	('>10k+', 0.0)
I2_S60.R1	(1.0, 5.699873896595208)	(2.0, 2.0849096258932325)	(3.0, 1.3114754098360655)	(4.0, 0.8406893652795292)	(5.0, 0.7145859604875998)	(6.0, 0.45397225725094575)	(7.0, 0.3530895334174023)	(8.0, 0.33627574611181166)	(9.0, 0.37831021437578816)	('>10', 7.431693989071038)	('>50', 5.632618747372846)	('>100', 34.78772593526692)	('>500', 28.633879781420763)	('>1k', 11.34089953762085)	('>5k', 0.0)	('>10k+', 0.0)
I2_S60.R2	(1.0, 11.601513240857503)	(2.0, 2.7742749054224465)	(3.0, 1.7654476670870116)	(4.0, 0.9415720891130728)	(5.0, 0.546448087431694)	(6.0, 0.605296343001261)	(7.0, 0.3530895334174023)	(8.0, 0.26902059688944935)	(9.0, 0.22698612862547288)	('>10', 6.364018495166037)	('>50', 4.884405212274065)	('>100', 20.327868852459016)	('>500', 39.98318621269441)	('>1k', 9.35687263556116)	('>5k', 0.0)	('>10k+', 0.0)
I35_S50.R1	(1.0, 3.0723419162725523)	(2.0, 1.39428971798914)	(3.0, 0.9248554913294799)	(4.0, 0.4484147836748993)	(5.0, 0.21019442984760903)	(6.0, 0.35733053074093535)	(7.0, 0.36784025223331585)	(8.0, 0.1961814678577684)	(9.0, 0.2522333158171308)	('>10', 4.287966368891224)	('>50', 3.597827990891575)	('>100', 10.68838675775092)	('>500', 20.564021720091084)	('>1k', 13.007531967069538)	('>5k', 40.63058328954283)	('>10k+', 0.0)
I35_S50.R2	(1.0, 7.619548081975827)	(2.0, 1.9898406025573654)	(3.0, 1.187598528638991)	(4.0, 1.0229462252583639)	(5.0, 0.5079698721317218)	(6.0, 0.42038885969521805)	(7.0, 0.4168856191977579)	(8.0, 0.3082851637764933)	(9.0, 0.441408302679979)	('>10', 4.354527938342967)	('>50', 5.016640392362936)	('>100', 11.37852513575057)	('>500', 15.522858644245927)	('>1k', 29.94569977228937)	('>5k', 19.866876861096515)	('>10k+', 0.0)
I36_S51.R1	(1.0, 3.791092258748675)	(2.0, 1.9441498762813716)	(3.0, 1.179745493107105)	(4.0, 0.7953340402969247)	(5.0, 0.44185224460940264)	(6.0, 0.5567338282078473)	(7.0, 0.34022622834924005)	(8.0, 0.3534817956875221)	(9.0, 0.19883351007423117)	('>10', 4.6615411806291975)	('>50', 3.3448214916931778)	('>100', 13.600212089077413)	('>500', 16.777129727819016)	('>1k', 52.01484623541888)	('>5k', 0.0)	('>10k+', 0.0)
I36_S51.R2	(1.0, 9.411452810180275)	(2.0, 2.527394839165783)	(3.0, 1.670201484623542)	(4.0, 1.0427712972781902)	(5.0, 0.8174266525273949)	(6.0, 0.39766702014846234)	(7.0, 0.30929657122658183)	(8.0, 0.4241781548250266)	(9.0, 0.27836691410392367)	('>10', 4.427359490986214)	('>50', 4.162248144220572)	('>100', 11.329091551785083)	('>500', 11.342347119123366)	('>1k', 51.86019794980559)	('>5k', 0.0)	('>10k+', 0.0)
I3_S61.R1	(1.0, 3.416882965947391)	(2.0, 1.5418587533413397)	(3.0, 1.2668035485995428)	(4.0, 0.9297640723666369)	(5.0, 0.5229922907062333)	(6.0, 0.3719056289466548)	(7.0, 0.16270871266416145)	(8.0, 0.1859528144733274)	(9.0, 0.31379537442373995)	('>10', 4.9509936853523415)	('>50', 1.727811567814667)	('>100', 15.65490256847325)	('>500', 11.091310579940341)	('>1k', 57.86231743695037)	('>5k', 0.0)	('>10k+', 0.0)
I3_S61.R2	(1.0, 8.32913648161779)	(2.0, 2.184945570061597)	(3.0, 1.4760004648820362)	(4.0, 1.4566303800410645)	(5.0, 0.6973230542749776)	(6.0, 0.7438112578933096)	(7.0, 0.43388990043776393)	(8.0, 0.3719056289466548)	(9.0, 0.2440630689962422)	('>10', 4.548095920660133)	('>50', 2.897764692209352)	('>100', 13.32274435362027)	('>500', 9.23565645217526)	('>1k', 54.05803277418355)	('>5k', 0.0)	('>10k+', 0.0)
I4_S62.R1	(1.0, 10.721483272873842)	(2.0, 2.539298669891173)	(3.0, 1.7533252720677146)	(4.0, 1.2091898428053205)	(5.0, 1.1084240225715438)	(6.0, 1.0882708585247884)	(7.0, 0.8464328899637243)	(8.0, 0.8061265618702136)	(9.0, 1.0882708585247884)	('>10', 14.147521160822249)	('>50', 11.386537686416768)	('>100', 42.2813381700927)	('>500', 11.02378073357517)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I4_S62.R2	(1.0, 15.417170495767834)	(2.0, 3.5872632003224507)	(3.0, 1.995163240628779)	(4.0, 1.128577186618299)	(5.0, 1.7130189439742038)	(6.0, 0.9673518742442563)	(7.0, 0.7053607416364369)	(8.0, 0.48367593712212814)	(9.0, 0.36275695284159615)	('>10', 13.724304715840388)	('>50', 4.635227730753728)	('>100', 33.27287384119307)	('>500', 22.007255139056834)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I50_S54.R1	(1.0, 3.3323010219882314)	(2.0, 1.3069061628987304)	(3.0, 1.0498606379684112)	(4.0, 0.780427376896872)	(5.0, 0.5419634561783835)	(6.0, 0.390213688448436)	(7.0, 0.15174976772994736)	(8.0, 0.22297925054196344)	(9.0, 0.22297925054196344)	('>10', 3.982657169402292)	('>50', 2.4775472282440383)	('>100', 13.034995354598946)	('>500', 12.2081139671725)	('>1k', 60.29730566738929)	('>5k', 0.0)	('>10k+', 0.0)
I50_S54.R2	(1.0, 8.284298544441002)	(2.0, 2.1740476927841437)	(3.0, 1.570145555899659)	(4.0, 1.1148962527098172)	(5.0, 0.6968101579436359)	(6.0, 0.5574481263549086)	(7.0, 0.4335707649427067)	(8.0, 0.39640755651904613)	(9.0, 0.16723443790647258)	('>10', 4.82192629296996)	('>50', 3.2734592753174354)	('>100', 10.396407556519046)	('>500', 14.462681944874575)	('>1k', 51.65066584081759)	('>5k', 0.0)	('>10k+', 0.0)
I51_S55.R1	(1.0, 4.529879385964912)	(2.0, 1.493969298245614)	(3.0, 0.9251644736842104)	(4.0, 0.41118421052631576)	(5.0, 0.5825109649122807)	(6.0, 0.6990131578947368)	(7.0, 0.43174342105263164)	(8.0, 0.6030701754385964)	(9.0, 0.4934210526315789)	('>10', 7.490405701754386)	('>50', 3.2552083333333335)	('>100', 10.608552631578947)	('>500', 5.688048245614035)	('>1k', 27.234100877192986)	('>5k', 35.55372807017544)	('>10k+', 0.0)
I51_S55.R2	(1.0, 10.464638157894738)	(2.0, 1.8229166666666667)	(3.0, 1.459703947368421)	(4.0, 1.0416666666666665)	(5.0, 0.7881030701754386)	(6.0, 0.6578947368421052)	(7.0, 0.7195723684210527)	(8.0, 0.8223684210526315)	(9.0, 0.6167763157894737)	('>10', 8.066063596491228)	('>50', 4.714912280701754)	('>100', 8.168859649122808)	('>500', 4.475054824561404)	('>1k', 56.18146929824561)	('>5k', 0.0)	('>10k+', 0.0)
I52_S56.R1	(1.0, 3.3886863777507763)	(2.0, 1.5930876198190902)	(3.0, 1.1441879303361686)	(4.0, 0.8100445524503848)	(5.0, 0.4387741325772918)	(6.0, 0.44552450384771164)	(7.0, 0.3071418928041042)	(8.0, 0.24301336573511542)	(9.0, 0.212636695018226)	('>10', 4.107600918050493)	('>50', 3.516943431888754)	('>100', 14.79006345348994)	('>500', 8.842986364250034)	('>1k', 60.15930876198191)	('>5k', 0.0)	('>10k+', 0.0)
I52_S56.R2	(1.0, 8.016065883623599)	(2.0, 2.3693803159173754)	(3.0, 1.6504657756176588)	(4.0, 1.1205616308896988)	(5.0, 0.7594167679222357)	(6.0, 0.46577561765897124)	(7.0, 0.425273390036452)	(8.0, 0.3510193060618334)	(9.0, 0.24301336573511542)	('>10', 4.414742810854597)	('>50', 2.8317807479411368)	('>100', 16.092885108680978)	('>500', 2.5685162683947618)	('>1k', 58.69110301066559)	('>5k', 0.0)	('>10k+', 0.0)
I56_S57.R1	(1.0, 3.7752223909741813)	(2.0, 1.6836623996528532)	(3.0, 1.431980906921241)	(4.0, 0.8157951833369494)	(5.0, 0.5641136906053373)	(6.0, 0.468648296810588)	(7.0, 0.24300282056845304)	(8.0, 0.45129095248426987)	(9.0, 0.234324148405294)	('>10', 5.13343458450857)	('>50', 2.2477760902581903)	('>100', 19.249294857886742)	('>500', 13.825124755912347)	('>1k', 49.87632892167498)	('>5k', 0.0)	('>10k+', 0.0)
I56_S57.R2	(1.0, 10.301583857669778)	(2.0, 2.777175092210892)	(3.0, 1.6923410718160121)	(4.0, 0.937296593621176)	(5.0, 0.9546539379474941)	(6.0, 0.5988283792579735)	(7.0, 0.4556302885658494)	(8.0, 0.3818615751789976)	(9.0, 0.31243219787372534)	('>10', 5.7192449555218055)	('>50', 3.267520069429377)	('>100', 13.104794966370145)	('>500', 22.8596224777609)	('>1k', 36.63701453677587)	('>5k', 0.0)	('>10k+', 0.0)
I57_S58.R1	(1.0, 6.900240706071142)	(2.0, 2.6477667825621825)	(3.0, 1.3640010698047607)	(4.0, 0.9093340465365072)	(5.0, 0.9360791655522868)	(6.0, 0.6418828563787109)	(7.0, 0.280823749665686)	(8.0, 0.5349023803155925)	(9.0, 0.2407060711420166)	('>10', 9.14683070339663)	('>50', 8.999732548809842)	('>100', 33.12382990104306)	('>500', 34.27387001872158)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I57_S58.R2	(1.0, 12.998127841668897)	(2.0, 3.0756886868146562)	(3.0, 1.6047071409467772)	(4.0, 0.9093340465365072)	(5.0, 0.4011767852366943)	(6.0, 0.561647499331372)	(7.0, 0.3744316662209147)	(8.0, 0.0)	(9.0, 0.4814121422840332)	('>10', 7.849692431131318)	('>50', 10.657929927788178)	('>100', 44.771329232415084)	('>500', 16.31452259962557)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I5_S63.R1	(1.0, 3.4842951059167273)	(2.0, 1.6216216216216217)	(3.0, 1.1943024105186268)	(4.0, 0.6428049671292915)	(5.0, 0.7487216946676406)	(6.0, 0.5697589481373265)	(7.0, 0.3323593864134405)	(8.0, 0.20452885317750183)	(9.0, 0.19722425127830534)	('>10', 4.0759678597516436)	('>50', 2.797662527392257)	('>100', 15.379839298758219)	('>500', 7.9401022644265895)	('>1k', 60.810810810810814)	('>5k', 0.0)	('>10k+', 0.0)
I5_S63.R2	(1.0, 7.943754565376188)	(2.0, 2.3447772096420745)	(3.0, 1.7092768444119795)	(4.0, 1.1687363038714391)	(5.0, 0.9130752373995616)	(6.0, 0.635500365230095)	(7.0, 0.40905770635500366)	(8.0, 0.11687363038714389)	(9.0, 0.3287070854638422)	('>10', 4.60555149744339)	('>50', 2.7757487216946677)	('>100', 13.290723155588022)	('>500', 8.754565376187)	('>1k', 55.003652300949604)	('>5k', 0.0)	('>10k+', 0.0)
I6_S64.R1	(1.0, 4.693163551549154)	(2.0, 1.9352601884829956)	(3.0, 1.5223626564125192)	(4.0, 0.8194912850253727)	(5.0, 0.7249345982916758)	(6.0, 0.6240741324423992)	(7.0, 0.5515806726132316)	(8.0, 0.5043023292463833)	(9.0, 0.4538720963217449)	('>10', 6.849056009077442)	('>50', 3.8011788066946135)	('>100', 13.24423992183314)	('>500', 8.506949916474927)	('>1k', 55.7695338355344)	('>5k', 0.0)	('>10k+', 0.0)
I6_S64.R2	(1.0, 9.496643237620955)	(2.0, 2.5656381000409745)	(3.0, 1.7492987045733919)	(4.0, 1.4372616383521921)	(5.0, 0.929807419548019)	(6.0, 0.9266555299902292)	(7.0, 0.44126453809058525)	(8.0, 0.5043023292463833)	(9.0, 0.4822391023418539)	('>10', 6.965675922715668)	('>50', 4.740441894916001)	('>100', 13.5058467551297)	('>500', 0.0)	('>1k', 56.25492482743405)	('>5k', 0.0)	('>10k+', 0.0)
I7_S65.R1	(1.0, 17.353951890034363)	(2.0, 6.701030927835052)	(3.0, 3.608247422680412)	(4.0, 3.436426116838488)	(5.0, 1.2886597938144329)	(6.0, 0.5154639175257731)	(7.0, 0.0)	(8.0, 1.3745704467353952)	(9.0, 0.0)	('>10', 7.302405498281788)	('>50', 4.725085910652921)	('>100', 53.69415807560137)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I7_S65.R2	(1.0, 21.735395189003437)	(2.0, 5.670103092783505)	(3.0, 3.608247422680412)	(4.0, 2.7491408934707904)	(5.0, 0.0)	(6.0, 1.0309278350515463)	(7.0, 1.804123711340206)	(8.0, 0.6872852233676976)	(9.0, 1.5463917525773196)	('>10', 6.872852233676976)	('>50', 0.0)	('>100', 54.29553264604811)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I8_S66.R1	(1.0, 2.9424736941591583)	(2.0, 1.4365824459706382)	(3.0, 0.926217629638964)	(4.0, 0.6678848213723143)	(5.0, 0.34654401108940835)	(6.0, 0.41585281330729007)	(7.0, 0.33079201058534435)	(8.0, 0.2016256064520194)	(9.0, 0.14176800453657615)	('>10', 4.104971331359083)	('>50', 2.5990800831705627)	('>100', 13.990926847709659)	('>500', 9.78829311322538)	('>1k', 62.1069875874236)	('>5k', 0.0)	('>10k+', 0.0)
I8_S66.R2	(1.0, 8.28240186503686)	(2.0, 2.3628000756096026)	(3.0, 1.266460840526747)	(4.0, 1.1593472370991116)	(5.0, 0.7560960241950728)	(6.0, 0.6237792199609351)	(7.0, 0.3748976119967236)	(8.0, 0.32764161048453155)	(9.0, 0.1984752063512066)	('>10', 4.593283346985067)	('>50', 2.5392224812551194)	('>100', 9.775691512822128)	('>500', 11.53046436897486)	('>1k', 56.209438598702036)	('>5k', 0.0)	('>10k+', 0.0)
I9_S76.R1	(1.0, 5.409060175794456)	(2.0, 1.6227180527383367)	(3.0, 1.4198782961460445)	(4.0, 0.8113590263691683)	(5.0, 0.3380662609871535)	(6.0, 0.0)	(7.0, 0.47329276538201487)	(8.0, 1.0818120351588911)	(9.0, 0.0)	('>10', 9.465855307640297)	('>50', 4.124408384043273)	('>100', 39.4185260311021)	('>500', 35.83502366463827)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
I9_S76.R2	(1.0, 7.437457741717377)	(2.0, 1.8931710615280595)	(3.0, 0.6085192697768762)	(4.0, 0.5409060175794456)	(5.0, 0.3380662609871535)	(6.0, 0.8113590263691683)	(7.0, 0.9465855307640297)	(8.0, 0.0)	(9.0, 0.0)	('>10', 9.127789046653144)	('>50', 8.654496281271129)	('>100', 29.006085192697768)	('>500', 40.635564570655845)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
