Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Gl-17_S5.R1	(1.0, 12.427184466019417)	(2.0, 2.940360610263523)	(3.0, 1.6643550624133148)	(4.0, 1.8862690707350902)	(5.0, 1.248266296809986)	(6.0, 0.8321775312066574)	(7.0, 0.5825242718446602)	(8.0, 0.665742024965326)	(9.0, 0.24965325936199723)	('>10', 16.36615811373093)	('>50', 17.919556171983356)	('>100', 17.80859916782247)	('>500', 25.409153952843273)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-17_S5.R2	(1.0, 17.142857142857142)	(2.0, 3.661581137309293)	(3.0, 2.0804438280166435)	(4.0, 0.665742024965326)	(5.0, 1.8030513176144243)	(6.0, 1.4979195561719834)	(7.0, 0.3883495145631068)	(8.0, 0.2219140083217753)	(9.0, 0.7489597780859917)	('>10', 11.28987517337032)	('>50', 18.696255201109572)	('>100', 7.212205270457697)	('>500', 34.590846047156724)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-25_S48.R1	(1.0, 19.453125)	(2.0, 3.75)	(3.0, 2.34375)	(4.0, 1.5625)	(5.0, 1.953125)	(6.0, 0.9375)	(7.0, 0.546875)	(8.0, 0.625)	(9.0, 0.0)	('>10', 11.25)	('>50', 4.296875)	('>100', 53.28125)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-25_S48.R2	(1.0, 22.8125)	(2.0, 6.25)	(3.0, 2.109375)	(4.0, 2.8125)	(5.0, 0.78125)	(6.0, 0.46875)	(7.0, 0.0)	(8.0, 0.625)	(9.0, 0.0)	('>10', 8.671875)	('>50', 11.015625)	('>100', 44.453125)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-26_S6.R1	(1.0, 14.330218068535824)	(2.0, 3.6493101913662658)	(3.0, 1.2016021361815754)	(4.0, 1.602136181575434)	(5.0, 2.67022696929239)	(6.0, 0.801068090787717)	(7.0, 0.6230529595015576)	(8.0, 0.7120605251446372)	(9.0, 0.4005340453938585)	('>10', 10.59190031152648)	('>50', 3.115264797507788)	('>100', 60.30262572318647)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-26_S6.R2	(1.0, 15.9768580329328)	(2.0, 3.7383177570093453)	(3.0, 1.7356475300400533)	(4.0, 2.1361815754339117)	(5.0, 0.8900756564307966)	(6.0, 1.0680907877169559)	(7.0, 0.6230529595015576)	(8.0, 1.4241210502892745)	(9.0, 0.801068090787717)	('>10', 10.14686248331108)	('>50', 0.0)	('>100', 36.00356030262573)	('>500', 25.456163773920782)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-27_S7.R1	(1.0, 16.28021706956093)	(2.0, 3.5520473606314753)	(3.0, 2.0720276270350273)	(4.0, 1.3813517513566849)	(5.0, 0.740009866798224)	(6.0, 1.1840157868771584)	(7.0, 1.7266896891958559)	(8.0, 0.7893438579181057)	(9.0, 0.4440059200789344)	('>10', 9.570794277257031)	('>50', 3.1080414405525407)	('>100', 0.0)	('>500', 59.15145535273803)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-27_S7.R2	(1.0, 17.56290083867785)	(2.0, 4.144055254070055)	(3.0, 2.220029600394672)	(4.0, 1.973359644795264)	(5.0, 1.480019733596448)	(6.0, 0.8880118401578688)	(7.0, 0.3453379378391712)	(8.0, 1.5786877158362114)	(9.0, 0.0)	('>10', 10.360138135175136)	('>50', 0.0)	('>100', 23.778983719782932)	('>500', 35.6684755796744)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-28_S8.R1	(1.0, 15.588988476312421)	(2.0, 3.265044814340589)	(3.0, 2.6888604353393086)	(4.0, 1.792573623559539)	(5.0, 1.440460947503201)	(6.0, 1.7285531370038414)	(7.0, 0.44814340588988477)	(8.0, 1.5364916773367476)	(9.0, 1.1523687580025608)	('>10', 16.83738796414853)	('>50', 8.002560819462227)	('>100', 45.51856594110115)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-28_S8.R2	(1.0, 21.830985915492956)	(2.0, 3.585147247119078)	(3.0, 1.440460947503201)	(4.0, 2.0486555697823303)	(5.0, 1.2804097311139564)	(6.0, 1.1523687580025608)	(7.0, 0.6722151088348272)	(8.0, 1.0243277848911652)	(9.0, 1.7285531370038414)	('>10', 10.819462227912933)	('>50', 12.836107554417413)	('>100', 41.58130601792573)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-29_S9.R1	(1.0, 23.7006237006237)	(2.0, 5.50935550935551)	(3.0, 3.2744282744282747)	(4.0, 1.8711018711018712)	(5.0, 1.0395010395010396)	(6.0, 2.806652806652807)	(7.0, 0.36382536382536385)	(8.0, 1.2474012474012475)	(9.0, 2.338877338877339)	('>10', 11.902286902286903)	('>50', 0.0)	('>100', 45.94594594594595)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-29_S9.R2	(1.0, 24.74012474012474)	(2.0, 4.365904365904366)	(3.0, 3.4303534303534304)	(4.0, 2.079002079002079)	(5.0, 3.118503118503119)	(6.0, 1.5592515592515594)	(7.0, 0.7276507276507277)	(8.0, 0.4158004158004158)	(9.0, 1.4033264033264035)	('>10', 12.733887733887734)	('>50', 0.0)	('>100', 17.87941787941788)	('>500', 27.546777546777545)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
